feature,importance
Average +/-,0.126321
Avg. min. (~team),0.09307
Games Played,0.065115
Avg # of poss. (~team),0.05764
Field Goals +/- (clustered),0.05481
3 Pointers +/- (clustered),0.044233
# Days since start,0.039195
3 Point %,0.028787
Avg # of poss. (~opponent),0.023274
Free Throw +/- (~team),0.0166785905199
Avg. min. (clustered),0.0162222473905
Field Goal % (~team),0.015689237026
Day of Month,0.0154601841385
3 Point Attempts +/- (clustered),0.0147433238388
eff. Field Goal % (~team),0.0144482847421
fga_pm,0.0140200128616
FTA_pm,0.0136064376278
PLUS_MINUS,0.0118037441847
lineup,0.0106441389732
pace_bref,0.00936498631236
eFG_10mean,0.00731122341
team,0.00706757577394
FT_percent,0.00697850890691
TP_pm_10mean,0.00671897015954
opp_poss_10mean,0.00666886121118
num_poss_10mean,0.00659509321761
MIN,0.00580285956274
FT_percent_10mean,0.0056856500806
NET_RATING,0.00542459118897
away_game,0.00522296593241
fga_pm_10mean,0.00517652028737
fg_pm_10mean,0.00476588244949
pace_bref_10mean,0.00466455306971
fg_percent_10mean,0.00435641409908
FTA_pm_10mean,0.00420135466546
FT_pm_10mean,0.00418086023468
PIE,0.00412296300073
OPP_PTS,0.00410419616121
PTS_2ND_CHANCE,0.0040075884735
OPP_FG3A,0.003968833165
FG3_PCT,0.00388875212624
month,0.00380165342736
FGA,0.0036613885797
PTS,0.00360764122866
OPP_FT_PCT_opt,0.00358731411961
EFG_PCT,0.00355473386297
OPP_REB,0.00353335034536
FTM,0.00347905072617
FT_PCT,0.00345496316934
TP_percent_10mean,0.0034436222395
OPP_FG3_PCT_opt,0.0034081889537
OPP_AST,0.00330355157131
TPA_pm_10mean,0.00329116100425
AST,0.00325355623108
TS_PCT,0.00317479281442
OPP_PTS_OFF_TOV,0.00309672186911
OPP_PTS_2ND_CHANCE,0.00301924117558
REB_PCT,0.00297757966936
AST_RATIO,0.00292454192362
OPP_PTS_PAINT_opt,0.00290762262665
OPP_PTS_FB,0.00289909974868
OPP_FGA,0.00285860076049
OPP_DREB,0.00281593018237
PCT_PTS_2PT_MR_opt,0.00280508841382
FTA_RATE,0.00271621521756
FTA,0.00265071129661
PCT_PTS_PAINT,0.00256007942391
OREB_opt,0.00255560700342
FT_PCT_opt,0.00249512495366
PCT_PTS_2PT_MR,0.00249436505894
OPP_FGM,0.00246134448362
OFF_RATING,0.002460045051
OPP_FT_PCT,0.00243226241032
OREB,0.00239292682649
STL,0.00239148295779
PACE,0.00238125831768
OPP_PTS_PAINT,0.00238003391736
BLK,0.00232820742685
OPP_FG3_PCT,0.00230864264687
DEF_RATING,0.00230016694517
OREB_PCT_opt,0.00228637707815
OPP_FTA_RATE,0.00228231268123
PCT_PTS_2PT,0.00223515468713
PCT_UAST_3PM,0.00223412096691
REB_opt,0.00218236047571
REB_PCT_opt,0.00215848271856
PCT_PTS_3PT,0.00215002315111
PTS_PAINT,0.00209808769041
PCT_PTS_FT_opt,0.0020694836071
OPP_STL,0.00204202537999
PTS_OFF_TOV,0.00199663478051
OPP_TOV,0.00198909753668
DREB,0.00196936969706
OPP_FG3A_opt,0.00196385102465
PCT_PTS_FB,0.00194087568499
PF,0.0019242199299
FGM,0.00191062100311
TM_TOV_PCT,0.00189411914046
OPP_FTA,0.0018818498827
OPP_FG_PCT,0.00187013627721
OPP_PF,0.00183679889667
FTA_RATE_opt,0.00180389504283
PCT_PTS_PAINT_opt,0.00180286317665
FGA_opt,0.00178478698763
PCT_PTS_OFF_TOV,0.00178235266597
STL_opt,0.00177742448018
OREB_PCT,0.00177504188319
PCT_PTS_FT,0.00176345237829
OPP_REB_opt,0.00175675440247
OPP_OREB,0.00175241446057
OPP_FTM,0.00172373884703
AST_TO,0.00171844906784
OPP_FG3M,0.00170388496995
FG3_PCT_opt,0.00168140835715
PFD,0.00163958918685
PCT_PTS_2PT_opt,0.00163181800257
FG_PCT,0.00162478090737
FG_PCT_opt,0.00157378096949
FTM_opt,0.00155302243782
OPP_FTA_opt,0.00152618071695
OPP_OREB_PCT,0.00151451173138
OPP_STL_opt,0.00151220624604
FG3A,0.00150239003153
BLKA,0.00149283299324
OPP_FG_PCT_opt,0.00148453941112
DEF_RATING_opt,0.00147833812582
PTS_PAINT_opt,0.00144920425298
REB,0.00139601175468
FG3A_opt,0.00139400139339
TS_PCT_opt,0.00139347194237
OPP_PTS_FB_opt,0.00138862662279
OFF_RATING_opt,0.0013742967466
OPP_PF_opt,0.00136326215991
PFD_opt,0.00136074969515
OPP_PTS_2ND_CHANCE_opt,0.00135834962281
PCT_PTS_FB_opt,0.00134918818641
PTS_opt,0.00134782114777
PTS_FB,0.00134394462512
OPP_PTS_opt,0.00134221133399
PCT_AST_3PM_opt,0.00133764938867
OPP_OREB_opt,0.00130343858034
OPP_FGA_opt,0.00128042687852
OPP_EFG_PCT,0.00127910582099
PTS_FB_opt,0.00125137981025
OPP_BLK,0.00122282183015
FG3M,0.00120660704928
FGM_opt,0.00116809073676
OPP_TOV_PCT,0.00114939466395
OPP_FG3M_opt,0.00114708349205
OPP_PFD,0.00114693938465
TOV_opt,0.00113998829771
PCT_FGA_2PT,0.00113960423009
OPP_AST_opt,0.00112960091
PCT_UAST_2PM_opt,0.00110946867864
OPP_DREB_opt,0.00107087431462
TOV,0.00105395311203
opponent,0.00104908938546
OPP_FGM_opt,0.00103047197792
BLK_opt,0.00102989187261
PCT_UAST_3PM_opt,0.00102945701143
OPP_FTA_RATE_opt,0.000999718162394
AST_opt,0.000980389174197
OPP_BLKA,0.000865820657413
PACE_opt,0.000863491553183
OPP_BLKA_opt,0.000861377055845
AST_RATIO_opt,0.000857324639575
PTS_2ND_CHANCE_opt,0.000847105914967
OPP_EFG_PCT_opt,0.000811251665549
PCT_UAST_FGM_opt,0.000799516419925
PCT_AST_2PM,0.000786584836314
OPP_TOV_opt,0.000781605710906
L_opt,0.000744921605877
PCT_FGA_3PT,0.000729829918717
PCT_PTS_3PT_opt,0.000716986649731
TM_TOV_PCT_opt,0.000703569665266
PCT_PTS_OFF_TOV_opt,0.000701184051059
DREB_PCT_opt,0.000692409970145
PCT_AST_2PM_opt,0.000678889794112
PIE_opt,0.000674088936841
DREB_opt,0.000666232226673
PCT_FGA_2PT_opt,0.000647841331221
OPP_FTM_opt,0.000645065286399
PCT_UAST_FGM,0.000640025645835
FG3M_opt,0.00063034638502
EFG_PCT_opt,0.000627561883157
PCT_UAST_2PM,0.000622771997279
OPP_BLK_opt,0.000613132426973
OPP_OREB_PCT_opt,0.000592199585476
PF_opt,0.000589795431788
OPP_PTS_OFF_TOV_opt,0.000543861959999
AST_TO_opt,0.000535880608934
DREB_PCT,0.000531640304472
OPP_TOV_PCT_opt,0.000526845499318
NET_RATING_opt,0.000496378707821
PCT_AST_3PM,0.000463644732579
PCT_AST_FGM_opt,0.000461421967184
PCT_AST_FGM,0.000440966067859
FTA_opt,0.000435120845701
OPP_PFD_opt,0.000433063693994
PTS_OFF_TOV_opt,0.000425605736707
AST_PCT,0.000385718392666
BLKA_opt,0.000279428433126
PLUS_MINUS_opt,0.000274760496413
AST_PCT_opt,0.000237825089968
PCT_FGA_3PT_opt,0.000177377626649
W_PCT_opt,0.0001341901398
W_opt,0.000114526850583
year,0.0
