lineup,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
D. DeRozan | A. Johnson | J. Johnson | K. Lowry | J. Valanciunas,TOR,12,7,5,0.583,85.0,96.5,85.6,10.9,0.508,1.03,15.1,0.257,0.699,0.49,0.193,0.489,0.523,94.84,0.553
G. Henderson | A. Jefferson | M. Kidd-Gilchrist | B. Roberts | C. Zeller,CHA,7,5,2,0.714,84.0,102.8,96.1,6.8,0.662,2.81,19.7,0.224,0.772,0.503,0.096,0.467,0.511,94.43,0.581
K. Irving | L. James | K. Love | A. Varejao | D. Waiters,CLE,16,11,5,0.688,84.0,101.1,110.5,-9.4,0.672,1.13,18.9,0.217,0.72,0.479,0.225,0.549,0.585,95.01,0.445
O. Casspi | D. Cousins | R. Gay | R. McCallum | B. McLemore,SAC,11,5,6,0.455,83.0,104.0,110.4,-6.4,0.574,1.56,16.5,0.238,0.743,0.481,0.141,0.487,0.538,101.54,0.469
E. Fournier | C. Frye | T. Harris | K. O'Quinn | V. Oladipo,ORL,13,4,9,0.308,83.0,116.5,100.7,15.8,0.52,1.86,18.5,0.203,0.8,0.527,0.132,0.599,0.617,91.88,0.548
D. DeRozan | K. Lowry | P. Patterson | J. Valanciunas | L. Williams,TOR,25,17,8,0.68,81.0,95.8,99.2,-3.4,0.534,1.63,13.9,0.207,0.725,0.455,0.11,0.418,0.482,100.17,0.468
A. Johnson | K. Lowry | T. Ross | J. Valanciunas | G. Vasquez,TOR,14,8,6,0.571,81.0,117.7,120.4,-2.8,0.589,2.53,20.0,0.175,0.766,0.472,0.105,0.577,0.611,96.22,0.489
D. Augustin | C. Butler | A. Drummond | J. Jerebko | J. Meeks,DET,14,9,5,0.643,80.0,113.0,106.8,6.2,0.662,2.14,20.7,0.229,0.794,0.496,0.134,0.558,0.584,94.52,0.539
B. Beal | D. Gooden | M. Gortat | O. Porter | J. Wall,WAS,10,7,3,0.7,80.0,101.6,85.0,16.7,0.701,2.24,21.3,0.262,0.836,0.565,0.134,0.5,0.521,93.89,0.633
A. Bradley | J. Crowder | J. Sullinger | E. Turner | T. Zeller,BOS,10,2,8,0.2,80.0,88.0,100.7,-12.8,0.559,1.1,15.5,0.253,0.694,0.488,0.187,0.45,0.472,96.65,0.392
T. Burke | D. Favors | R. Gobert | G. Hayward | E. Millsap,UTA,22,12,10,0.545,80.0,104.5,93.5,11.0,0.448,1.0,12.8,0.338,0.788,0.555,0.17,0.496,0.53,95.5,0.558
G. Dieng | S. Muhammad | A. Wiggins | M. Williams | T. Young,MIN,11,0,11,0.0,80.0,113.9,103.7,10.3,0.62,1.63,18.3,0.39,0.766,0.56,0.163,0.524,0.56,98.08,0.563
D. Exum | D. Favors | G. Hayward | J. Ingles | E. Kanter,UTA,12,3,9,0.25,79.0,113.9,98.6,15.4,0.493,2.0,17.6,0.224,0.791,0.528,0.116,0.561,0.586,88.2,0.589
A. Horford | K. Korver | D. Schroder | M. Scott | T. Sefolosha,ATL,23,19,4,0.826,79.0,123.5,81.5,42.0,0.803,3.8,25.6,0.222,0.7,0.49,0.099,0.597,0.622,91.43,0.736
K. Irving | K. Love | I. Shumpert | J. Smith | T. Thompson,CLE,26,24,2,0.923,78.0,103.2,100.1,3.2,0.519,1.42,13.0,0.37,0.679,0.527,0.126,0.418,0.481,94.36,0.518
A. Aminu | J. Juan | D. Harris | D. Nowitzki | B. Wright,DAL,16,11,5,0.688,77.0,127.7,101.7,26.0,0.625,3.85,22.6,0.306,0.72,0.533,0.086,0.586,0.614,94.59,0.652
A. Aminu | T. Chandler | M. Ellis | D. Harris | C. Parsons,DAL,26,16,10,0.615,77.0,113.8,90.8,22.9,0.588,2.35,17.7,0.254,0.671,0.473,0.101,0.531,0.565,103.25,0.666
A. Anderson | K. Garnett | J. Jack | J. Johnson | M. Plumlee,BKN,12,4,8,0.333,77.0,99.6,96.0,3.7,0.661,2.05,19.8,0.138,0.742,0.433,0.128,0.512,0.534,91.13,0.549
B. Bogdanovic | K. Garnett | J. Jack | J. Johnson | M. Plumlee,BKN,8,3,5,0.375,77.0,106.4,118.7,-12.3,0.657,1.76,21.7,0.222,0.712,0.462,0.17,0.565,0.583,91.38,0.45
C. Boozer | E. Davis | W. Johnson | J. Lin | N. Young,LAL,6,0,6,0.0,77.0,89.6,117.1,-27.5,0.481,1.08,12.0,0.351,0.868,0.537,0.152,0.377,0.424,96.57,0.304
C. Brewer | J. Harden | T. Jones | J. Smith | J. Terry,HOU,21,15,6,0.714,77.0,109.4,86.1,23.4,0.582,1.56,17.5,0.179,0.722,0.49,0.146,0.543,0.592,106.22,0.701
D. Collison | D. Cousins | R. Gay | B. McLemore | D. Williams,SAC,18,7,11,0.389,77.0,116.0,111.7,4.2,0.609,1.18,18.6,0.176,0.743,0.504,0.204,0.607,0.681,101.78,0.527
M. Carter-Williams | L. Mbah | N. Noel | H. Sims | H. Thompson,PHI,7,2,5,0.286,75.0,80.0,94.8,-14.7,0.692,0.97,18.1,0.129,0.841,0.504,0.239,0.479,0.492,99.01,0.441
R. Hibbert | S. Hill | C. Miles | C. Watson | D. West,IND,19,7,12,0.368,75.0,107.9,99.2,8.7,0.606,1.6,19.2,0.323,0.737,0.551,0.169,0.53,0.559,95.84,0.563
K. Irving | L. James | T. Mozgov | J. Smith | T. Thompson,CLE,10,8,2,0.8,75.0,105.7,114.5,-8.8,0.6,1.44,18.7,0.219,0.679,0.476,0.174,0.564,0.577,97.07,0.453
A. Aminu | J. Juan | D. Harris | D. Nowitzki | A. Stoudemire,DAL,11,6,5,0.545,74.0,112.0,128.8,-16.8,0.492,1.76,16.3,0.25,0.732,0.491,0.121,0.533,0.572,88.73,0.451
A. Anderson | M. Brown | J. Johnson | M. Plumlee | D. Williams,BKN,8,4,4,0.5,74.0,102.0,100.1,1.9,0.435,1.13,14.1,0.176,0.672,0.417,0.157,0.526,0.554,99.64,0.472
J. Bayless | J. Dudley | J. Henson | O. Mayo | K. Middleton,MIL,20,16,4,0.8,74.0,104.2,86.0,18.2,0.81,1.42,22.8,0.096,0.747,0.48,0.214,0.594,0.636,100.34,0.669
A. Baynes | M. Belinelli | B. Diaw | M. Ginobili | C. Joseph,SAS,17,12,5,0.706,74.0,104.5,91.7,12.8,0.583,1.35,17.4,0.22,0.863,0.576,0.17,0.538,0.571,97.78,0.573
D. DeRozan | A. Johnson | K. Lowry | P. Patterson | L. Williams,TOR,19,12,7,0.632,74.0,113.1,108.8,4.4,0.429,1.71,11.9,0.338,0.597,0.471,0.09,0.474,0.534,98.92,0.516
P. Antic | K. Bazemore | D. Carroll | P. Millsap | J. Teague,ATL,28,21,7,0.75,73.0,93.7,100.2,-6.5,0.468,1.05,11.8,0.149,0.766,0.435,0.137,0.425,0.501,102.3,0.433
R. Anderson | O. Asik | D. Cunningham | T. Evans | E. Gordon,NOP,7,3,4,0.429,72.0,89.1,121.3,-32.2,0.596,1.17,15.2,0.261,0.828,0.52,0.174,0.442,0.466,89.71,0.323
R. Anderson | A. Davis | T. Evans | E. Gordon | Q. Pondexter,NOP,16,9,7,0.563,72.0,120.5,118.5,2.0,0.563,2.12,18.1,0.224,0.656,0.451,0.113,0.575,0.619,96.18,0.513
T. Ariza | T. Black | J. Harden | D. Motiejunas | J. Terry,HOU,12,8,4,0.667,72.0,118.0,96.0,22.0,0.563,1.24,17.8,0.35,0.778,0.583,0.199,0.6,0.624,97.81,0.586
T. Booker | T. Burke | R. Gobert | G. Hayward | E. Millsap,UTA,25,15,10,0.6,72.0,118.3,96.9,21.4,0.5,1.38,15.7,0.367,0.852,0.612,0.157,0.55,0.587,90.52,0.594
L. Deng | G. Dragic | D. Wade | H. Walker | H. Whiteside,MIA,10,4,6,0.4,72.0,103.8,108.7,-4.8,0.603,1.52,17.9,0.204,0.797,0.513,0.154,0.525,0.565,97.9,0.506
L. Barbosa | A. Iguodala | D. Lee | S. Livingston | M. Speights,GSW,13,10,3,0.769,71.0,114.7,88.3,26.4,0.672,1.88,22.2,0.288,0.723,0.53,0.168,0.577,0.612,99.72,0.654
B. Bass | A. Bradley | J. Crowder | E. Turner | T. Zeller,BOS,15,6,9,0.4,71.0,97.5,97.5,0.0,0.636,1.46,17.9,0.356,0.714,0.559,0.172,0.451,0.498,95.46,0.529
B. Beal | D. Gooden | M. Gortat | P. Pierce | J. Wall,WAS,13,12,1,0.923,71.0,107.6,94.0,13.6,0.517,2.38,17.1,0.242,0.71,0.489,0.096,0.516,0.53,93.09,0.585
C. Budinger | G. Dieng | A. Wiggins | M. Williams | T. Young,MIN,12,2,10,0.167,71.0,95.8,104.0,-8.2,0.643,1.38,18.3,0.227,0.643,0.441,0.178,0.468,0.518,97.81,0.494
B. Bass | A. Bradley | M. Smart | J. Sullinger | E. Turner,BOS,16,9,7,0.563,70.0,96.9,110.4,-13.5,0.706,2.0,19.3,0.197,0.833,0.515,0.131,0.472,0.503,91.85,0.461
T. Black | J. Brown | J. Clarkson | W. Johnson | R. Kelly,LAL,9,2,7,0.222,70.0,109.2,116.8,-7.6,0.61,2.0,19.3,0.148,0.745,0.42,0.128,0.564,0.583,95.41,0.456
B. Bogdanovic | J. Jack | J. Johnson | B. Lopez | M. Plumlee,BKN,14,4,10,0.286,70.0,102.0,125.8,-23.8,0.469,1.92,13.8,0.219,0.646,0.434,0.093,0.44,0.502,90.77,0.391
J. Clarkson | W. Ellington | J. Hill | R. Kelly | R. Sacre,LAL,7,2,5,0.286,70.0,89.2,101.2,-12.0,0.49,1.09,13.8,0.221,0.77,0.507,0.163,0.435,0.473,95.89,0.431
G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,16,10,6,0.625,69.0,110.2,85.2,25.0,0.678,1.48,20.7,0.273,0.726,0.513,0.196,0.579,0.604,94.39,0.681
J. Juan | T. Chandler | M. Ellis | D. Nowitzki | C. Parsons,DAL,14,9,5,0.643,69.0,122.3,107.9,14.5,0.563,2.25,18.0,0.339,0.652,0.5,0.112,0.538,0.591,94.69,0.619
V. Carter | M. Conley | M. Gasol | C. Lee | Z. Randolph,MEM,18,17,1,0.944,69.0,103.1,79.9,23.2,0.667,3.17,19.0,0.229,0.731,0.493,0.082,0.467,0.502,93.65,0.728
M. Conley | M. Gasol | C. Lee | T. Prince | Z. Randolph,MEM,8,4,4,0.5,69.0,102.9,104.4,-1.5,0.537,1.93,15.8,0.314,0.721,0.514,0.113,0.45,0.489,89.64,0.49
G. Antetokounmpo | J. Bayless | J. Dudley | J. Henson | O. Mayo,MIL,18,12,6,0.667,68.0,103.7,95.2,8.6,0.8,1.6,21.4,0.322,0.667,0.5,0.195,0.509,0.544,91.8,0.574
B. Beal | R. Butler | M. Gortat | K. Humphries | J. Wall,WAS,22,16,6,0.727,68.0,110.5,99.5,11.0,0.707,3.15,22.0,0.194,0.729,0.467,0.098,0.532,0.552,94.42,0.564
B. Bogdanovic | J. Johnson | B. Lopez | M. Teletovic | D. Williams,BKN,11,4,7,0.364,68.0,102.3,96.0,6.3,0.58,1.45,16.7,0.25,0.726,0.511,0.154,0.487,0.532,91.63,0.534
C. Butler | K. Caldwell-Pope | B. Jennings | G. Monroe | J. Smith,DET,14,3,11,0.214,68.0,98.6,100.9,-2.3,0.569,2.23,15.7,0.216,0.727,0.457,0.093,0.449,0.483,98.25,0.493
M. Dellavedova | L. James | J. Jones | I. Shumpert | T. Thompson,CLE,15,11,4,0.733,68.0,101.9,111.8,-9.8,0.643,1.5,16.1,0.169,0.744,0.412,0.138,0.495,0.543,89.28,0.426
T. Allen | N. Calathes | K. Koufos | J. Leuer | B. Udrih,MEM,12,9,3,0.75,67.0,97.6,81.8,15.8,0.527,1.21,15.1,0.403,0.661,0.527,0.176,0.449,0.477,97.34,0.606
B. Beal | M. Gortat | K. Humphries | O. Porter | J. Wall,WAS,17,9,8,0.529,67.0,105.0,102.9,2.1,0.527,1.32,15.9,0.339,0.803,0.581,0.164,0.513,0.537,94.82,0.54
A. Brooks | M. Dunleavy | P. Gasol | N. Mirotic | T. Snell,CHI,15,9,6,0.6,67.0,110.6,90.4,20.2,0.6,2.06,18.8,0.157,0.757,0.512,0.119,0.544,0.588,92.92,0.658
T. Burke | A. Burks | R. Gobert | G. Hayward | E. Kanter,UTA,15,3,12,0.2,67.0,96.8,95.0,1.8,0.622,1.56,16.5,0.218,0.75,0.486,0.138,0.458,0.507,93.18,0.516
R. Butler | N. Hilario | A. Miller | O. Porter | K. Seraphin,WAS,13,7,6,0.538,67.0,106.0,99.2,6.8,0.492,1.72,17.9,0.302,0.797,0.573,0.142,0.542,0.539,89.39,0.581
N. Collison | R. Jackson | A. Morrow | K. Perkins | D. Waiters,OKC,10,6,4,0.6,67.0,76.9,85.8,-8.8,0.467,1.0,12.8,0.2,0.701,0.455,0.162,0.403,0.41,91.72,0.386
D. Augustin | C. Butler | J. Jerebko | J. Meeks | G. Monroe,DET,13,7,6,0.538,66.0,112.6,105.5,7.1,0.58,1.12,17.7,0.298,0.763,0.557,0.215,0.578,0.625,88.57,0.541
K. Bazemore | A. Horford | K. Korver | P. Millsap | J. Teague,ATL,17,14,3,0.824,66.0,111.3,108.3,3.0,0.745,2.56,22.2,0.185,0.737,0.468,0.12,0.547,0.583,95.69,0.54
B. Beal | M. Gortat | N. Hilario | O. Porter | J. Wall,WAS,13,10,3,0.769,66.0,107.7,94.1,13.6,0.778,1.91,22.8,0.288,0.814,0.568,0.173,0.547,0.57,93.37,0.614
O. Casspi | D. Cousins | B. McLemore | R. Sessions | J. Thompson,SAC,4,2,2,0.5,66.0,101.8,81.5,20.3,0.611,1.14,18.4,0.295,0.784,0.602,0.217,0.547,0.578,95.8,0.728
K. Irving | L. James | K. Love | M. Miller | A. Varejao,CLE,12,8,4,0.667,66.0,111.5,109.2,2.3,0.72,2.4,21.9,0.167,0.771,0.469,0.125,0.55,0.592,88.99,0.499
D. Cousins | R. Gay | C. Landry | R. McCallum | B. McLemore,SAC,8,3,5,0.375,65.0,96.0,119.0,-23.0,0.571,1.33,16.2,0.276,0.759,0.517,0.163,0.465,0.5,93.76,0.388
D. DeRozan | A. Johnson | K. Lowry | P. Patterson | T. Ross,TOR,19,11,8,0.579,65.0,125.7,109.9,15.8,0.526,2.0,17.0,0.294,0.726,0.531,0.114,0.572,0.629,96.0,0.592
B. Griffin | D. Jordan | C. Paul | J. Redick | H. Turkoglu,LAC,8,7,1,0.875,65.0,123.6,113.2,10.4,0.667,2.11,21.9,0.234,0.849,0.56,0.144,0.647,0.658,94.73,0.551
T. Harris | A. Nicholson | V. Oladipo | E. Payton | N. Vucevic,ORL,10,2,8,0.2,65.0,111.6,102.7,8.9,0.629,1.95,21.2,0.212,0.778,0.5,0.15,0.57,0.598,98.59,0.562
K. Irving | K. Love | T. Mozgov | I. Shumpert | J. Smith,CLE,20,18,2,0.9,65.0,114.5,89.8,24.7,0.481,1.53,15.1,0.246,0.696,0.492,0.128,0.54,0.586,98.67,0.627
P. Antic | K. Korver | P. Millsap | T. Sefolosha | J. Teague,ATL,15,12,3,0.8,64.0,122.5,86.6,35.8,0.532,1.57,17.4,0.4,0.897,0.667,0.153,0.58,0.617,98.02,0.733
M. Barnes | B. Griffin | D. Jordan | C. Paul | A. Rivers,LAC,14,10,4,0.714,64.0,123.7,105.9,17.8,0.6,2.17,21.4,0.354,0.691,0.552,0.143,0.613,0.623,96.78,0.591
D. DeRozan | K. Lowry | P. Patterson | T. Ross | J. Valanciunas,TOR,19,10,9,0.526,64.0,103.2,126.1,-22.9,0.422,1.73,11.7,0.262,0.644,0.418,0.087,0.423,0.493,93.02,0.341
R. Hibbert | S. Hill | C. Miles | L. Scola | D. Sloan,IND,8,2,6,0.25,64.0,71.5,110.1,-38.6,0.694,0.78,15.0,0.237,0.827,0.514,0.251,0.395,0.417,95.01,0.244
R. Anderson | A. Davis | T. Evans | J. Holiday | A. Rivers,NOP,18,8,10,0.444,63.0,119.7,102.5,17.2,0.448,1.73,14.9,0.333,0.759,0.554,0.115,0.53,0.585,98.79,0.619
D. Augustin | N. Collison | M. McGary | A. Morrow | D. Waiters,OKC,9,6,3,0.667,63.0,101.8,81.8,20.1,0.451,1.64,12.7,0.329,0.794,0.544,0.106,0.437,0.467,100.14,0.615
E. Bledsoe | G. Dragic | A. Len | M. Morris | M. Morris,PHX,17,9,8,0.529,63.0,108.2,100.2,8.0,0.518,1.61,16.6,0.276,0.87,0.563,0.139,0.522,0.549,101.63,0.542
E. Bledsoe | G. Dragic | M. Morris | I. Thomas | P. Tucker,PHX,19,9,10,0.474,63.0,111.1,109.1,2.0,0.353,0.95,10.6,0.193,0.686,0.426,0.135,0.514,0.589,107.06,0.507
A. Afflalo | W. Chandler | K. Faried | J. Hickson | T. Lawson,DEN,20,8,12,0.4,62.0,116.6,132.6,-16.0,0.473,1.44,15.0,0.294,0.778,0.521,0.136,0.579,0.596,98.86,0.406
A. Aminu | T. Chandler | M. Ellis | C. Parsons | R. Rondo,DAL,15,7,8,0.467,62.0,89.2,76.4,12.8,0.675,1.13,16.3,0.196,0.687,0.463,0.188,0.449,0.496,99.23,0.673
K. Bryant | E. Davis | J. Hill | W. Johnson | J. Lin,LAL,18,5,13,0.278,62.0,104.6,123.9,-19.3,0.464,1.37,15.9,0.255,0.714,0.471,0.154,0.536,0.545,96.17,0.393
O. Casspi | D. Cousins | C. Landry | R. McCallum | B. McLemore,SAC,7,1,6,0.143,62.0,101.8,113.6,-11.8,0.7,1.46,20.0,0.302,0.629,0.488,0.194,0.519,0.544,95.94,0.473
D. Collison | R. Gay | C. Landry | B. McLemore | J. Thompson,SAC,18,10,8,0.556,62.0,96.3,89.5,6.8,0.415,1.21,11.3,0.204,0.81,0.518,0.114,0.426,0.494,95.41,0.546
J. Crawford | G. Davis | S. Hawes | A. Rivers | H. Turkoglu,LAC,11,7,4,0.636,62.0,98.1,106.0,-7.9,0.568,1.79,16.1,0.172,0.833,0.508,0.116,0.471,0.507,91.91,0.442
K. Irving | L. James | K. Love | T. Thompson | D. Waiters,CLE,21,13,8,0.619,62.0,115.4,91.7,23.7,0.491,2.17,16.2,0.264,0.625,0.45,0.1,0.523,0.568,93.67,0.672
L. Mbah | N. Noel | J. Richardson | J. Sampson | I. Smith,PHI,6,2,4,0.333,62.0,86.8,102.1,-15.3,0.568,1.92,15.1,0.203,0.655,0.409,0.103,0.408,0.43,97.53,0.418
